comment,predicted_label,confidence
"Solusi dong biar joni suami ukurannya besar dan tahan lama, cape ngadepinnya udah kecil loyo lagi😭",relatable engagement,0.458
Ih bang maen mau ngokop aja😭😭😭,relatable engagement,0.4239
kakkk durasi nya kurang lama 😭,relatable engagement,0.3069
GUE BANTING JUGA NI HP,relatable engagement,0.5597
Lama² gue blender juga ni bumi,relatable engagement,0.4535
LUCU BENER OIII❤️❤️,supportive sentiment,0.7251
MW DISAPA PWISS😋🕺🏻,passive engagement,0.8271
"Takot banget loh renggo jd kakak hihii,,,",relatable engagement,0.541
gausah ditolongin guys...,supportive sentiment,0.7283
awas ada anak2 😂,supportive sentiment,0.3058
awas enggo punya adik,supportive sentiment,0.5293
pantes anaknya kecil kecil udah beradik🥰🥰,supportive sentiment,0.643
Apakah akan ada teteh owi kecil ?,supportive sentiment,0.36
Aduh masker gw retaakkkk,relatable engagement,0.3234
🔥👏😂,passive engagement,0.3693
Baby ke 4😍,supportive sentiment,0.479
run kak run😂,relatable engagement,0.4816
Dia yg mulai dia juga yg takut😂,relatable engagement,0.8432
kak jgn nnt otw anak 4😂,relatable engagement,0.3988
HAHAHAH LUCU BANGET MAMAA 🤏🤏🤏🤏,supportive sentiment,0.4762
Ya Allah ngakakk aku pernahh🫣😂😭😭😭,supportive sentiment,0.3355
Satpam perum said :mereka melalukannya tiap minggu,relatable engagement,0.6331
Ih mba tahan dulu marahnya sampai di gendong paksa sambil di kokop,relatable engagement,0.8165
TUH KANN CWE TU KLO NGAMBEK CIUM + PELUK AJAAA,passive engagement,0.3824
Auto Senyuuuuuummmm berasa ngaca😭,passive engagement,0.434
"tiap nongol begini, yg di pikiran w. kapan ya gua kaya gini? 😂",relatable engagement,0.8202
😭😭,passive engagement,0.4909
😭😭salfok kulit mukanya mama zoey putih bersih😭😍😍,supportive sentiment,0.6523
@eustoliananda 😂,social virality,0.3298
nih @radityapf,social virality,0.4544
@ekadarmap 🤣🤣🤣🤣,social virality,0.3876
Hehehehe😂,relatable engagement,0.3216
@sayasg008 mirip,relatable engagement,0.9339
Kapan kalo aku ngambek diginiin😂,supportive sentiment,0.3164
"Bro, kenapa yah gue tiap main cepet banget kelarnya 😅. Istri jadi sering kesel ama gue. Ada solusi nggak bro?😅",spam or irrelevant,0.7687
paparon gimana rasanya punya anak 4😭,relatable engagement,0.5189
@keemaaall @mfaizfrhn @harunnalr_ mirip bat eget wkwk @tegarfebrian7,social virality,0.9521
mama papa awak la gini @nrulrabiatul,social virality,0.4681
Sumpah ini gua banget sama mantan laki gua😭,relatable engagement,0.805
@suciaulls,social virality,0.4397
Ya namanya juga cewe😭,relatable engagement,0.6095
Jangan nyindir sayaaaaahh ka😭😭😭 kita belum ikribbbb😢,passive engagement,0.755
Harga diriku jg luntur grgr dibeliin ramen 😭😭 @damangajiraga,social virality,0.6029
Aku klo udh pergi y pergi bneran😂,relatable engagement,0.5898
"Gausah nyindir min, malu anj😭😭😭",relatable engagement,0.5892
Dahlah kering ni gigi gwa lihat ginian😁😭😄,relatable engagement,0.803
Merasa melihat diriku wkwk,supportive sentiment,0.5007
gajelas ncene wong wedok ii,passive engagement,0.3062
🚘:percayalah mereka melakukannya setiap hari,supportive sentiment,0.6356
@arkrsyn KEBIASAAN,social virality,0.4301
Tah apa2 tah...🙄,relatable engagement,0.3453
"Luluhin cewek itu gampang, elus kepalanya aja meleleh sambil dipeluk😢 (tp dibelakang sambil bawa duit segepok sih)",relatable engagement,0.3875
"Gimana sih rasanya kalau si kembar di pegang suami yg hyper, suamiku sama sekali ga pernah nyentuh😔",relatable engagement,0.4745
Gue ada ide bang...😂,supportive sentiment,0.5264
😮,passive engagement,0.3374
@4uralieaa u bngeddd,social virality,0.6101
🤣🤣,passive engagement,0.2702
mama zoey putih bgt😍😍😍,supportive sentiment,0.8305
paparon kalau yg anu anu cepet yaa🤣pantes jadi 3 😂,supportive sentiment,0.5945
NGEN..... 🤣🤣,spam or irrelevant,0.5546
di sensor pun tetep kedengeran🙏,supportive sentiment,0.7634
SERU BANGET ANJIR😭,relatable engagement,0.6992
bekicot😭😭,relatable engagement,0.4727
B…C (Basic),relatable engagement,0.4701
tutorialll nya kaaa😭,relatable engagement,0.3647
Wow nya Uwi berasa sampe sini 😍❤️,relatable engagement,0.4573
"LUCUK BGTTT \WOOOOW\"" NYAAAA 🫵🏻🫵🏻""",supportive sentiment,0.8125
INIMA JADINYA 3 BAYIKKK,relatable engagement,0.4511
agi mamah🤏🏻,supportive sentiment,0.7982
"zaampun awong paparon bgt, lebih paparon drpd paparon sendiri😭",relatable engagement,0.5682
bayikkkkkk,supportive sentiment,0.7843
Itu bubuk apaaaaa,spam or irrelevant,0.2746
SUPER DUPER KIYUTI 🥺🥺,supportive sentiment,0.7647
@dndacntkaa kak udah pny ank aja😭😭😭,social virality,0.6221
"Sumpahh kakak bukan kaya anak tiga,tapi masih kaya gadiiss😍😍",supportive sentiment,0.6922
cakep bgt,passive engagement,0.4325
So pretty😍,passive engagement,0.6072
Cuantikkk polll cecenya boluuuu😍😍😍,supportive sentiment,0.858
Always cakepp gak pernah gagal makeup nya 😍,supportive sentiment,0.6896
So pretty😍💗,passive engagement,0.6458
cantinaaaa,passive engagement,0.4568
INIMAH CANTIK BANGEDDDD,relatable engagement,0.7327
AAAA CANTIK SEKALIIIIIIIIII HUHU ✊🖐️✊🖐️,supportive sentiment,0.7145
CANTIK PARIPURNA,supportive sentiment,0.6188
ini teh namanya moana x mulan,passive engagement,0.6203
So pretty😍🌷 cocok bgttt style rambutnyaa,supportive sentiment,0.7975
So pretty bubbb 🤍🤍,supportive sentiment,0.7046
Tutor hairnya plssss 😍,supportive sentiment,0.7225
Aduhhh otw co inimahh,relatable engagement,0.6394
NAKSIR TP YG MINI GEMES,relatable engagement,0.6716
SUMPAH IYA SEKENCENG ITU,relatable engagement,0.8068
"Silaaauu, cantik amat 😍🔥🔥",supportive sentiment,0.9048
cantik kali sistur,supportive sentiment,0.7371
ga asyique,spam or irrelevant,0.6062
aktif y bun,relatable engagement,0.4993
Throwing up berarti ente muntah ya,spam or irrelevant,0.8364
ihh,passive engagement,0.4868
Iya del,passive engagement,0.4402
Haaa lu cantik bgt,supportive sentiment,0.8465
cakep bgt ciiii 😢😍😍😍,supportive sentiment,0.4568
basi gk sie,spam or irrelevant,0.4263
Mau dong ke khao yai k,relatable engagement,0.7126
So cute 🎀,supportive sentiment,0.4854
black swan?,passive engagement,0.269
Invite me in advance if you are going to marry. 😗,relatable engagement,0.5487
pcrny kaku bgt kak kyk kolor baru dijemur,spam or irrelevant,0.6309
pernah ke ke JBNU dan BUFS dan di BUFS beeuuhhh tanjakan dan tangga tangga nya setinggi harapan orang tua 😄😄😄,relatable engagement,0.6906
Uhhhhh keceh🔥,supportive sentiment,0.606
keren bgt👏 yg videoin keren🤭,supportive sentiment,0.8155
Ka kuliah di korea belajarnya kompetitif gak?,relatable engagement,0.418
Wahhhh kayak hasil drone 🔥,supportive sentiment,0.4801
Daebak,supportive sentiment,0.6079
Wajah anda mendukung menyerupai orang sana bang,supportive sentiment,0.5215
Berharap bisa next kamu😍 amin,supportive sentiment,0.886
Popo siroyooo,spam or irrelevant,0.5058
타국에서 힘드실텐데 응원합니다🥰,supportive sentiment,0.7671
hallo ko,passive engagement,0.5979
I need Eng sub 😢,relatable engagement,0.6
Hidden by Instagram,spam or irrelevant,0.266
Real bang korea dimana mana tangga pantesan jarang ada yang gemuk 😭🙏🏻,relatable engagement,0.7614
Kyak'ny enak yaa 😋,relatable engagement,0.7039
Keburu masuk angin ga tuh 😭😂,relatable engagement,0.4592
❤️🔥,passive engagement,0.6319
Ga ngajak ngajak kak,relatable engagement,0.8479
🫶🫶,passive engagement,0.3671
Masa introvert sii? 😂 Ngga percaya 😂,relatable engagement,0.8146
Hi bestie,passive engagement,0.7513
Tinggal di Korea enak gk kak,relatable engagement,0.4891
😍😍,passive engagement,0.5913
di korea tu pake seluler kaya kita gini atau ga si ?,relatable engagement,0.5446
mau nyobain war tiket di korea @fairybokju,social virality,0.4921
🔥,passive engagement,0.2994
Baguuussss bangeettt🔥🔥,supportive sentiment,0.8714
"suara dia huskynya unik, tiap highnote ga pernah gagal 🔥🔥",supportive sentiment,0.7746
kerennnnnnnnnnnnn,supportive sentiment,0.7578
bagus amatcii❤️,supportive sentiment,0.8686
lagu2nya chrisye kayanya cocok di kakak,relatable engagement,0.5596
Setujuuu banget kak,supportive sentiment,0.8259
suara lu banggg🔥🔥,supportive sentiment,0.6352
Suara nya bangus banget kak aul,supportive sentiment,0.47
Gass idol,supportive sentiment,0.6432
Kenapa s AQ selalu mengagumimu yang sangat ngefeel kalau lgi nyanyi😊🙏,supportive sentiment,0.7601
Idol 🔥😍,supportive sentiment,0.8351
calon penyanyi internasional🔥🔥,supportive sentiment,0.3941
Keren banget bang suara lu,supportive sentiment,0.6598
Ikut idol bro siapa tau ada rejekinya,supportive sentiment,0.5853
hrus duet sih sama @fajarnurdiansyah_,relatable engagement,0.8512
"Bagusan ini sih,,lbh ngena di hati yg lg terombang ambing",relatable engagement,0.7948
🔥🔥🔥🔥,passive engagement,0.3183
🙌🙌🙌👏👏🔥🔥😍😍,passive engagement,0.7371
"Udah dibilangin gabole berharap sama manusia, malah batu😭",relatable engagement,0.3956
makin hari makin keren aja bangg,supportive sentiment,0.8676
Sumpah di sini lu keren bgt bang,supportive sentiment,0.8999
🙌🔥🔥,passive engagement,0.3327
"Relate banget, kak🥹",relatable engagement,0.9596
ihh ndmau nangis,relatable engagement,0.6001
Aku Relate banget kak aul,supportive sentiment,0.969
😍😍 syuka,passive engagement,0.8209
Makin gahar aja pian @m.auliarhman 🔥🔥🔥,supportive sentiment,0.5048
Bikin 😢😢 🔥🔥,relatable engagement,0.6264
"Disclaimer: lagu ini berbahaya didengarkan sendirian ditengah malam, karena menyebabkan yang hujan diluar tapi yang basah malah pipi.",relatable engagement,0.468
🔥🔥🔥,passive engagement,0.3083
🔥🔥,passive engagement,0.3176
❤️,passive engagement,0.7124
"Sadnight gasii, kak jadinya bukan satnight?😭",relatable engagement,0.4249
🥹🥹,passive engagement,0.3671
suaranya masyaallah ♥️,supportive sentiment,0.8777
😢😢❤️🔥🔥🔥,passive engagement,0.5284
Aduhhh,passive engagement,0.3137
suka bnget dnger nya☺️👏,supportive sentiment,0.8538
Kena bgt lirikk😢😢,relatable engagement,0.5739
kpn ke muara ancalong lagi kak😁,relatable engagement,0.53
Pas banget lagi muter di ujung jalan,relatable engagement,0.6337
Nice try🔥,supportive sentiment,0.5627
saflok bgt ma gingsulnya maniss 😂😂,supportive sentiment,0.3636
Lagu nya candu terlalu sakit tapi kalo candu nya ke kamu sakit ngga 🥲,relatable engagement,0.6916
🔥👏👏,passive engagement,0.4026
Kereeen kak 🔥🔥,supportive sentiment,0.7771
"kakk keren bangettt, sukses selaluu🥺💖",supportive sentiment,0.9364
suara nya masyallah knapa ga masuk Indonesia idoll aj,supportive sentiment,0.5073
🥲,passive engagement,0.3671
"Emg gahabis\aura lagu ini😢""",supportive sentiment,0.4585
Dari pertama lagu ini rilis sampe Skrang tiap denger ngena banget liriknya 😌karna kisahnya hampir sama dengan hidup gua bang stuck satu nama😌,relatable engagement,0.9173
Kerreenn🔥🔥👏,supportive sentiment,0.5485
masyaallah suaranya❤️,supportive sentiment,0.8222
Baru nemu ig nya suka nonton YouTube nya berulang ulang..,relatable engagement,0.8455
Keren🔥,supportive sentiment,0.588
pokoknya bakal selalu dukung @m.auliarhman sukses terusss kak,supportive sentiment,0.7637
Cantik banget astaga viewnya,supportive sentiment,0.6464
🧡🧡🧡,passive engagement,0.7205
Cantik banget tempatnya jadi pingin kesitu dehh,relatable engagement,0.6929
😍❤️,passive engagement,0.764
Gili Trawangan memang the best ❤️❤️,relatable engagement,0.8685
Alam lombok memang surga 😍,relatable engagement,0.6237
Wahh keren bangett pemandangan nya sukses terus,supportive sentiment,0.7489
"Indah banget sunsetnya, jadi keinget sama mantan. Dulu sering liat sunset bareng.",relatable engagement,0.5515
Gili trawangan indah banget...keren banget tripnya Bang...ditunggu konten selanjutnya.,supportive sentiment,0.4977
"what a mesmerazing video !! yg bisa diving kyk gitu, sungguh beruntung sekali !!",supportive sentiment,0.4359
Keren banget suasana sunrise dan lautnya yang bersih,relatable engagement,0.311
Masyallah. Luar biasa indah ciptaan mu ya allah 😍,supportive sentiment,0.8511
Trip gila karena cuma bentar tp bagus ya hasilnyaaa,supportive sentiment,0.4598
Ijin reposstt kakkk 😍😍😍,supportive sentiment,0.7046
😍😍😍,passive engagement,0.5592
Seru banget 😍,supportive sentiment,0.5647
🔥🔥🔥🔥🔥,passive engagement,0.3209
😍Object🌎,passive engagement,0.3485
Indah banget ya explore laut,supportive sentiment,0.4414
😍😍😍😍,passive engagement,0.5877
Indah banget ya ampun 😍👏,supportive sentiment,0.5465
💙💙💙,passive engagement,0.7366
Ahhhhhh kerennn beutt,supportive sentiment,0.7354
obat mata minus nya ka . ampuh boleh dipesen di toko orange,spam or irrelevant,0.3295
Hy kk cek dm ya,spam or irrelevant,0.5699
"Looks so cool, keren hum diving like a mermaid",supportive sentiment,0.706
"pemandangan yang sangat cantik, jernih banget underwater, menyejukan mata",supportive sentiment,0.5558
keren banget asli bawah lautnya masih bagus dan terjaga . jadi pengn diving juga rasanya❤️,relatable engagement,0.6705
"bagus banget underwater, pemandangan yang indah dibawah laut air nya jernih banget",supportive sentiment,0.3614
"Subhanallah, baguss banget video underwater. Jernih banget pemandangan bawah laut. Kerenn",supportive sentiment,0.4513
"Laut nya bersih dan Bagus bangat kak, banyak ikan nya lagiii 😍😍",supportive sentiment,0.663
Wahh keren bgtt pemandangan nya indah pol sukses terus,supportive sentiment,0.7974
"Indah banget dunia bawah laut, banyak ikan dan banyak juga kura kuranya.",supportive sentiment,0.3781
pemandangan di bawah laut yang sangat bagus dan juga menarik sekali,supportive sentiment,0.7219
Pemandangan bawah laut ternyata indah juga ya apa lagi air nya jernih seperti ini,supportive sentiment,0.3795
Cakeeep abisss kakkk 😍😍😍😍,supportive sentiment,0.8323
#humpreyours,spam or irrelevant,0.5288
Maaf baru liat indah banget sunset nya 😍,supportive sentiment,0.4485
Keren,passive engagement,0.3751
Asik banget,passive engagement,0.4478
View nya bgus,supportive sentiment,0.668
Wishlist sih ini tempatnya,relatable engagement,0.6133
So aamazing the vieww,supportive sentiment,0.8125
MasyaAllah bagus tempatnya bgt pen kesitu😢,relatable engagement,0.4609
Jadi pengen renang gw brooo,supportive sentiment,0.4996
"Klo diliat2 bukan tmpt sembarangan itu bro, kebangetan bagus 😍",supportive sentiment,0.6081
Kereen angle take videonya 🌅,supportive sentiment,0.4378
Keren 😍😍 pake banget kak,supportive sentiment,0.8062
Soooo cool 😍😍😍😍😍,supportive sentiment,0.8327
sunset & pantai never fails🔥,supportive sentiment,0.726
Keren banget 😍,supportive sentiment,0.6625
Keyeeeennn kaleeee😍,supportive sentiment,0.8143
Stunning 👏,supportive sentiment,0.4191
Zhultan beda,supportive sentiment,0.3685
Seruu 😍kak,supportive sentiment,0.6561
Asikk ada anak hiking nihh😍,supportive sentiment,0.7457
🌿🌿😍😍,passive engagement,0.6926
"Tertarik ka, mengedukasi sekali ya 🙌",relatable engagement,0.5088
"Mau bangetttt, udah lama ga main kayak😍",relatable engagement,0.5611
😍😍 Hareudang tapi 😂,supportive sentiment,0.4678
Anggunly bgt,relatable engagement,0.5514
Kenapa si VO orang2 pada enak bgt di denger 😂😍😍,supportive sentiment,0.3796
Uda lama banget ga kesini,relatable engagement,0.5362
Kenapa gak ajak aku 😫,relatable engagement,0.6258
kok aku gk diajak 😢,relatable engagement,0.6696
Ada buayanga ngk.?,relatable engagement,0.3513
"Pleasure was mine, melepas penat sambil olahraga di Jakarta bareng @themangrove.paddlingcenter",spam or irrelevant,0.5708
Burung apaaaa??,relatable engagement,0.3738
muluss bngt mukaaknyaa ihh😍😂,supportive sentiment,0.7113
😭😭😭😭,passive engagement,0.4804
semuanya jadi park bom 😂,relatable engagement,0.4625
masya allah para koko dan cici😍😂,supportive sentiment,0.5069
merkuncrit mana yg bikin imut2 gini? 🫵🏻🤣,supportive sentiment,0.4434
kirain pake filter🥰,supportive sentiment,0.5913
JADI IMUT GITU YAAAA😭❤,supportive sentiment,0.4822
Mulus banget mukanyaa😂😍,supportive sentiment,0.4233
tiba tiba jadi orang' di douyin😢,supportive sentiment,0.3863
"ih mulus gitu yea muka nya, kira aku pake filter 🤭",supportive sentiment,0.3784
boneka labubu ya ini😦,supportive sentiment,0.676
Haters said it’s fake 🤷🏻‍♀️ wkwkwkwkwkwk,supportive sentiment,0.3784
Ga pernah ngeliat influencers senecurel ini,supportive sentiment,0.5089
yang bilang pake filter pasti bocil spil skincare nya kak🥰,supportive sentiment,0.392
Bangggg? 😭,relatable engagement,0.5709
aowk,passive engagement,0.7103
eh kayak cry bby jadinya 😂,supportive sentiment,0.4142
Kiyowo sekali😍,supportive sentiment,0.7225
Kak ojan jadi imut iihhh,supportive sentiment,0.4817
Muka asli😍😍,supportive sentiment,0.5834
Tapi imut loh kak kek boneka jadinya,supportive sentiment,0.4358
Bang😂😂,passive engagement,0.2961
Gemess banegt ❤️,supportive sentiment,0.7799
Merkucrit kalah sama wajah merek😂,relatable engagement,0.4831
Para douyinn😍,supportive sentiment,0.786
lucuuu😂😂,supportive sentiment,0.2895
Mukane bening2 semua 😋 kayak oran china,supportive sentiment,0.4036
Kak ojan jadi imut,supportive sentiment,0.4519
Hahahhs jadi gitu semua matanya,supportive sentiment,0.502
Adek-adeknya Jiafei kah ini?,relatable engagement,0.3548
BIG size-nya cuma buat sultan terpilih 🤭✨ Thank you kak Fernando udah sharing dan suka sama serum FFY!💜,supportive sentiment,0.8524
Penasaran bangett😍,supportive sentiment,0.6373
omoo omooo auto awet se awet awetnyaaa😂😂,relatable engagement,0.4019
ffy emng unexpected bgt deeehhh 😭 mana ingredientsnyaa besttt 😍,supportive sentiment,0.7315
ini mah SERUM FFY!!,product-focused response,0.5493
GA EXPECT SIZE NYA SUPER JUMBO😭❤,supportive sentiment,0.5111
Bisa bisanya ada yg sejumbo itu 😭,relatable engagement,0.4232
kaaa mauuu serum raksasa yaaa hahahahaha ini ma buat 2 semester kuliah gaperlu beli beli serum lagiii,relatable engagement,0.5572
Di jual harganya berapa?,product-focused response,0.6092
ga ah tu pasti harganya berjetong.jetong😭,product-focused response,0.5065
sriusss se jumboo ini ko😭🫵🏼,product-focused response,0.2587
Gk ekspek big size nya SUPER BIG 😭 abis nya berapa abad ini busett,product-focused response,0.5486
Gedong bgt 😍,product-focused response,0.7687
segentongg😭,product-focused response,0.5439
@claudia_tampun,social virality,0.4456
pasti mahal ya ica 🥰🥰,supportive sentiment,0.8371
ini mahhh stok 700 rahun baru abiss,supportive sentiment,0.4803
Gedee bgtt kooo bagii SE tetes,supportive sentiment,0.5577
Kak nando bagi wkwk aku otw bawa botol sndiri 🤣,relatable engagement,0.6138
Woyy ini serum segede gaban😭😭,product-focused response,0.3678
Gede bngettt😭😭,supportive sentiment,0.6748
Bgi sikitt🤏🏻😭,supportive sentiment,0.5048
Harga kecilnya aja lumayan klo sebesar itu brp ya kak😭😭😭,relatable engagement,0.6004
Segede naon etaaaa😂,supportive sentiment,0.5467
bisa kepake satu RT koh itumah,relatable engagement,0.5541
Kak 😭😭😭 btw izin kontennya aku repost buat konten jastipan ya,social virality,0.6882
Buat aku yg kombinasi cenderung kering. Skin 1004 bagus banget. Setelah dibilas jadi mulus. Dan awet banget. Padahal beli kemasan travel tp 2 bulan belum habis2.,product-focused response,0.5522
penasaraannn the originoteeeee😍,product-focused response,0.8369
Anua bestt bangett🔥❤️,product-focused response,0.795
SKIN1004 BESTT BESTTT❤️❤️❤️,product-focused response,0.8765
penasaran sama the orginote,product-focused response,0.4884
Suka yg originote tpi mau coba yg anua deh,product-focused response,0.4883
Pleasee belum pernah cobaa😢,relatable engagement,0.4022
kenapa ya aku make cleansing oil 1004 itu keluar bruntusan parah dan jerawat gede² bgt terutama di jidat pdhal sebelumnya jidat ku mulus dan gada beruntusan samsek (btw aku makenya udah bener dan pemakaian udh 1 setengah bulanan dan di awal² pemakaian baik² aja malah akhir² ini yang buat jerawatan),relatable engagement,0.4276
"Lebih bagus hadalabo atau skin1004?, aku ada skin1004 bagus, tapi hadalabo ga tau",relatable engagement,0.3303
bersihin komeno hitam plsssss pake yang manaaa,relatable engagement,0.2783
bg rekomendasi sunscreen untuk kulit berminyak,product-focused response,0.4299
Eh tapi 𝑨𝑳𝑬𝑿𝑰𝑺⭐17✈️ tuh apa sih sebenernya? Kok pada heboh?,supportive sentiment,0.3843
pengen coba yg anuaaa😍,supportive sentiment,0.8567
Anua sih yg bikin penasaran😍,supportive sentiment,0.449
Ak pen icip skin1004 sih😍,product-focused response,0.7181
kepoo bngt sama skin1004,product-focused response,0.5106
wihh the originote ngeluarin anak baru lagi nihh cleansing oil lagii😍 langsung cobain siiihh harga nya jugaa kantong pelajar bggttt,product-focused response,0.373
"@fernandofenlee kak mauu review sunscreen dong, aku tipikal oily skinn, pengen mencerahkan dan menyamarkan bekas jerawat yg kehitaman 🥺🥺",social virality,0.6389
Kepo yg affordable deh❤️,supportive sentiment,0.4738
Pling ringan anua sih,product-focused response,0.428
Pengen cobain yang the originote,product-focused response,0.4659
Skin 1004 otw 3 botol size full 😍,product-focused response,0.4137
Anua❤️,passive engagement,0.7777
moist glowsophyyy & serum glow fx faavvv akuuu bgttt ingredientsnyaa manteepp 😍,product-focused response,0.873
Glowsophy best bgt sih😍‼️,product-focused response,0.7997
Kudu coba clay mask ovale sih😍,product-focused response,0.6133
serum glow fx bisaa di pake umur brp ya?,relatable engagement,0.2859
glow bomb gacorr 😍❤️,product-focused response,0.7265
Ovale baguss bangett aslii❤️,product-focused response,0.7985
Produk local smakin di depan😍,supportive sentiment,0.5992
clay mask ovale bener' baguss bgtt trs unik bgtt bisa berubah warnaaa😭💗,product-focused response,0.7457
mau coba jugaa😍,supportive sentiment,0.6892
Jadi pengen nyobain nih😍,supportive sentiment,0.7302
"Glowsophy gemeyyyy bgt bentuk nya tolong😍, mana Pink lagii",supportive sentiment,0.8514
sukak bgt sama masker ovale,product-focused response,0.8453
Kak tapi saya pake glowshopy kok malah kusam ya? Itu kenapa?,relatable engagement,0.2709
produk ini juga bisa di pakai di kulit berjerawat ga yaa?,product-focused response,0.5659
"Kak aku pake ovale yg pink itu setelah di pake muka ku merah perih, itu knp ya kak?",relatable engagement,0.352
pengeenn cobain ovaleee,product-focused response,0.7935
Glow fx 🔥,supportive sentiment,0.6932
Produk lokal harga terjangkau kualitas nampol😍😍,supportive sentiment,0.6144
Glow bomb segacor itu kahh😭,relatable engagement,0.5264
"oval ganti warna, kaya bunglon 😭😭😭",relatable engagement,0.4463
Cocok cocokkan yaa ko... but thanks btw 😍😍😍,supportive sentiment,0.6591
Glow bomb gak ngefek di aku😢 tapi glowsophy Mayan sih tapi gak gong bgt,product-focused response,0.4335
Kk spill produk skincare yang bisa memudarkan bintik hitam,product-focused response,0.7014
Kak kok muka kaka mirip bgt sama @capt_eda si penyiar radio prambors ya,relatable engagement,0.919
mas wajahmu glowing poll aku iri😭😭,supportive sentiment,0.4297
suka nemuin clay mask ya di Alfamart,supportive sentiment,0.4189
glowshopy bikin minyakan bangetttt,product-focused response,0.286
Itu semua buat umur brpp kaa,relatable engagement,0.3279
Bucin glowsophy🙌,supportive sentiment,0.7913
Kulit jerawat kak,relatable engagement,0.3927
ka kalo sunscreen enak ny produk ap ya untuk normal to oily kusam?,product-focused response,0.5944
Glow fx sih emg gong😍,supportive sentiment,0.7889
rekomendasi sunscreen,relatable engagement,0.2969
thank you so much kak @fernandofenlee 💚💚💚,supportive sentiment,0.9095
Kulut berminyak itu pake Yang ijo apa yang pinkkk sii,product-focused response,0.3062
Glowfx bkin kepo kooo🙌🔥,supportive sentiment,0.6391
Oval malah bikin gampang jerawatan masih bagusan claymask wardah,product-focused response,0.3621
Haii koh selamat berlibur🙌❤️,supportive sentiment,0.9083
lucu bgtttt serasii putih' 😍,supportive sentiment,0.5648
ada simbol lebah 🐝 ya? terbuat dari madu kah?,product-focused response,0.3184
Penasaran sama serum nya,product-focused response,0.5106
Penasaran banget,product-focused response,0.6302
Mewah bgt produknya🔥,product-focused response,0.6237
Salfok mukanya bening bgt koh,supportive sentiment,0.679
wahhhh😍,passive engagement,0.7601
Salfok koo Nando ganteng bgt😍😍,supportive sentiment,0.8201
gorg,passive engagement,0.3533
Asataga pengen sosoan skena tapi mirip gembel,spam or irrelevant,0.3904
#kaya gembel,spam or irrelevant,0.3762
Pliss gw juga pengen spil2 orang yg kek gitu tapi gatau yg mana dulu soalnya banyak banget yg ngejudge gw😂😭,relatable engagement,0.358
dia suka ama lo kak 😂😂😂😂😂😂😂,relatable engagement,0.7565
Sebernya dia suka sama elu cuma gengsi mau ngomong😂,relatable engagement,0.4647
Padahal kalian sama,relatable engagement,0.7208
"Tapi kakak normal kan? Semoga aja iya,, 😊",relatable engagement,0.7309
"Dia sibuk memperhatikan orang lain, sampai lupa memperhatikan dirinya sendiri 🙌",relatable engagement,0.4437
"Gak setuju gw sama statment harus permisi mau komen di akun seseorang, selagi lu post ke public ya harus terima dengan semua komentar negatif positif karena resiko lu sendiri yg upload untuk konsumsi public lu gak bisa nyuruh semua org komentar nya harus positif, it's okay lu ngerasa gak terima sama komentar dia dan ngebales dengan nunjukin kayak gini, cuma yg mustahil itu ya lu minta semua orang komentar nya positif",relatable engagement,0.6422
Dia suka ama lo kak tapi ga bisa karena terhalang role jadi ya gitu wkwkwk,relatable engagement,0.475
Semoga mbak nya baca ya bang 😂,supportive sentiment,0.3976
"di aku case-nya orang mau pake alat yg masih aku pake. aku ajakin joinan aja karena aku baru mulai set, dianya gak mau. Soalnya dia bawa 3 client-nya (yes doi coach) dan gak mau joinan sama orang lain. Pas aku jelasin aku baru mulai, ehh malah dijutekin. Salahku dmana?? :)",relatable engagement,0.7307
Tapi mas..kadang tuh yg join alat ga tau diri..malah maen HP 😭🤣,relatable engagement,0.6732
"Nahhhhh sama, ak ampe komen. Mas/mbak nya masih rest kan???",relatable engagement,0.6836
"Mungkin dia pas break mau sambil live IG. Di tempatku gitu main alatnya sebentar tapi live dan story nya lamaaa banget, mau join jawabnya ya masih dipakai katanya 😑",relatable engagement,0.7908
Setuju bang. Kesel ama org2 kek gtu.. kenapa gk buat aja gym sndiri di rumahnya ya kalau gk mau joinan alat 😂😂,relatable engagement,0.5236
"Gym besar masa iya rebutan alat😂,",relatable engagement,0.4003
Simple aja bang : mungkin dia insekyur sama otot ototnya iman sega ini 🤣,relatable engagement,0.4909
Keceplosan kali bilangnya ngajak join Alat Vital... ya ngamuklah mbaknya 😂😂😂😂😂,relatable engagement,0.4174
Karna dia ngerasa kayak kita lagi caperin dia bang padahalmah peduli kgk bjir 🗿,relatable engagement,0.7452
"Aku pernh diajakin join pake alat leg press. Aku tolak soalnya apa, aku msh pemula. Msh tanpa tambhan plat lah doi kanan kiri udah nambah msg2 3 plate plus 1 plate tengah atas😭. Akhrnya main cable dlu dah",relatable engagement,0.6865
Kalau aku kena omel karna dia mau pake 😂,relatable engagement,0.5003
"Ini mirip lu @littlenote123, yakan @anggaramoz @cwdj18",social virality,0.9824
"Lagi gym di rush hour, keliatan ada org member baru (knp gw yakin dia member baru, krn dia sungkan mau join). Akhirnya gw panggil 'bang kalo mau make alat join aja'. Baru dia mau.",relatable engagement,0.6685
Relate sihh. Tempat gym malah jdi tempat ngonten. Giliran di tanya malah dia yg nge gas… aneehh. Cantiikk kalii yahh diiaaa 😒😒😒,relatable engagement,0.5826
